SUSTANCIA ACTIVA,Función,"Directiva/
Reglamento",Inclusión,Caducidad,"Principios
Uniformes",Condiciones Anexo A
"Prórroga
Modificación
Prórroga",,"2018/1266
2020/1293
2020/2007",,"31/05/2024
31/08/2024",,"los Estados miembros prestarán
especial atención:
1) a la exposición de los
consumidores por la dieta, con vistas
a futuras revisiones de los límites
máximos de residuos;
2) a la protección de los artrópodos y
organismos acuáticos no objetivo.
Las condiciones de uso incluirán,
cuando proceda, medidas de
reducción de riesgos"
"Azoxistrobin
Renovación
Prórroga",FU,"703/2011
2019/291",1/1/2012,"31/12/2021
31/12/2024",31/12/2015,--
"Azufre
Prórroga
Prórroga
Prórroga
Prórroga",FU/AC,"2009/70/CE
2017/555
2020/1511
2021/1449
2022/1480",1/1/2010,"31/12/2020
31/12/2021
31/12/2022
31/12/2023",30/6/2014,--
"Bacillus amyloliquefaciens
Cepa AH2",,2021/1455,27/09/2021,27/09/2036,,Sustancia de bajo riesgo
"Bacillus amyloliquefaciens (Cohn
1872) AQ 713
(Ver Bacillus subtilis* (Cohn 1872)
Cepa: QST 713)",,,,,,
"Bacillus amyloliquefaciens
Cepa MBI 600",FU,2016/1429,16/9/2016,16/9/2026,--,--
"Bacillus amyloliquefaciens
Cepa FZB24",FU,2017/806,1/6/2017,1/6/2032,--,Sustancia de bajo riesgo
"Bacillus amyloliquefaciens
Cepa IT 45",FU,2022/159,27/02/2022,27/02/2037,,Sustancia de bajo riesgo
"Bacillus amyloliquefaciens subsp.
plantarum D747*",FU,1316/2014,1/4/2015,31/3/2025,,
Bacillus firmus I-1582,IN,366/2013,1/10/2013,30/09/2023,30/9/2015,--
"Bacillus pumilus
Cepa QST 2808
Prórroga",FU,"485/2014
2020/2007",01/09/2014,"31/08/2024
31/08/2025",--,--
"Bacillus subtilis
Cepa IAB/BS03",FU/BA,2019/1605,20/10/2019,20/10/2034,--,Sustancia de bajo riesgo
