SUSTANCIA ACTIVA,Función,"Directiva/
Reglamento",Inclusión,Caducidad,"Principios
Uniformes",Condiciones Anexo A
"Prórroga
Prórroga
Prórroga
Prórroga
Prórroga",,"2019/168
2020/421
2021/566
2022/378
2023/689",,"30/04/2020
30/04/2021
30/04/2022
30/04/2023
15/03/2025",,
"Tritosulfurón
Prórroga
Prórroga
Prórroga
Prórroga
Prórroga",HB,"2008/70/CE
2018/1796
2019/1589
2020/1511
2021/1449
2022/1480",1/12/2008,"30/11/2018
31/11/2019
31/11/2020
31/11/2021
31/11/2022
31/11/2023",31/5/2010,--
"Urea
Modificación
Prórroga
Prórroga
Prórroga
Prórroga",AT/FU,"2008/127/CE
597/2012
2017/195
2020/1160
2021/745
2022/708",1/9/2009,"31/8/2019
31/08/2020
31/08/2021
31/08/2022
31/08/2023",31/8/2015,--
"Valifenalato
Prórroga",FU,"144/2014
2020/2007",1/7/2014,"30/6/2024
30/09/2024",31/12/2014,--
"Verticillium alboatrum (antes
V.dahliae)
Cepa: WCS850
Prórroga
Renovación",FU,"2008/113/CE
2019/168
2019/1675","1/5/2009
01/11/2019","30/4/2019
30/04/2020
31/10/2034","30/4/2014
01/03/2020","--
Sustancia de bajo riesgo"
"Virus del mosaico del pepino
cepa CH2, Aislado 1906",FU,2015/1176,7/8/2015,7/8/2030,--,Sólo invernadero.
"Virus del mosaico del pepino, cepa
CH2, aislado atenuado Abp2",FU,2021/917,28/06/2021,28/06/2036,,
"Virus del mosaico del pepino, cepa
EU, aislado atenuado Abp1",FU,2021/917,28/06/2021,28/06/2036,,
"Virus del mosaico del pepino dulce
Aislado VC1",FU,2017/408,29/3/2017,29/3/2032,--,"Sustancia de bajo riesgo
Solo invernadero."
"Virus del mosaico del pepino dulce
Aislado VXI",FU,2017/406,29/3/2017,29/3/2032,--,"Sustancia de bajo riesgo
Solo invernadero."
"Yodosulfurón
Renovación",HB,"2003/84/CE
2017/407","1/1/2004
1/4/2017",31/3/2032,1/7/2017,--
Ziram,FU,2003/81/CE,1/8/2004,,31/7/2008,--
